Func Code,Function Description,Employment Status,Job Category,Line No,Salary Band,Hispanic/Latino Male,Hispanci/Latino Female,"Non Hispanic/Latino - Male, White","NonHispanic/Latino - Male, Black","NonHispanic/Latino - Male, Asian","NonHispanic/Latino - Male, NHOPI","NonHispanic/Latino - Male, Amer Ind","NonHispanic/Latino - Male, 2+ Races","Non Hispanic/Latino - Female, White","NonHispanic/Latino - Female, Black","NonHispanic/Latino - Female, Asian","NonHispanic/Latino - Female, NHOPI","NonHispanic/Latino - Female, Amer Ind","NonHispanic/Latino - Female, 2+ Races",Total,FY
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,OFFICIAL/ADM,6,43.0-54.9,,,1,,,,,,,1,,,,,2,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,OFFICIAL/ADM,7,55.0-69.9,15,19,26,15,5,,,1,,43,24,,1,2,159,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,OFFICIAL/ADM,8,70.0 PLUS,260,311,1451,247,378,1,1,23,,1225,410,2,3,37,4690,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,PROFESSIONALS,13,33.0-42.9,4,4,2,,2,,,,,1,3,,,,18,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,PROFESSIONALS,14,43.0-54.9,26,16,49,43,58,,1,5,,30,39,,,6,313,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,PROFESSIONALS,15,55.0-69.9,64,74,127,99,86,1,2,6,,115,136,1,2,9,842,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,PROFESSIONALS,16,70.0 PLUS,255,227,1038,346,500,4,5,29,,739,474,2,1,29,4019,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,TECHNICIANS,21,33.0-42.9,1,6,5,3,3,,,1,,3,10,,,1,37,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,TECHNICIANS,22,43.0-54.9,56,64,83,121,37,1,1,11,,102,152,,1,8,681,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,TECHNICIANS,23,55.0-69.9,22,35,93,45,36,,,6,,84,72,,,5,438,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,TECHNICIANS,24,70.0 PLUS,22,16,55,18,14,1,,2,,39,27,,,3,212,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,29,33.0-42.9,10,6,2,14,6,,,1,,1,10,,,,51,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,30,43.0-54.9,58,11,36,64,33,,3,3,,10,39,,,2,262,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,31,55.0-69.9,47,15,55,44,20,,1,,,8,20,,,1,213,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,32,70.0 PLUS,44,12,98,31,10,1,1,,,6,12,,,,217,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,PARA-PROF,36,25.0-32.9,7,7,,3,1,,,,,2,8,,,1,30,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,PARA-PROF,37,33.0-42.9,68,88,47,109,9,,,3,,46,138,,1,9,535,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,PARA-PROF,38,43.0-54.9,165,280,142,141,56,2,1,10,,239,283,,5,15,1411,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,PARA-PROF,39,55.0-69.9,88,140,96,91,33,,,2,,129,159,,2,11,785,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,PARA-PROF,40,70.0 PLUS,39,65,86,38,36,,,2,,88,80,1,1,6,476,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,44,25.0-32.9,1,2,,,,,,,,1,,,,,4,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,45,33.0-42.9,58,126,58,104,28,1,1,4,80,387,47,1,4,13,912,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,46,43.0-54.9,33,104,31,56,15,,,3,73,260,39,1,4,3,622,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,47,55.0-69.9,20,101,33,39,17,,,1,76,231,37,,1,9,565,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,48,70.0 PLUS,23,65,15,25,10,,,1,79,131,14,,,3,366,2021
